Player,Matchup,League,Category,PrizePicks Line,RotoWire Proj,RotoWire Proj
Sofiane Diop,vs TFC,SOCCER,Shots,1.5,2.58,72.00%
Brandon Powell,vs CHI,NFL,Receiving Yards,22.5,6.57,-70.80%
Baker Mayfield,@ IND,NFL,INT,0.5,0.84,68.30%
Bryce Young,@ TEN,NFL,INT,0.5,0.83,66.15%
Sofiane Diop,vs TFC,SOCCER,Shots on Target,0.5,0.83,66.00%
D.J. Wonnum,vs CHI,NFL,Sacks,0.25,0.41,65.43%
Ludovic Ajorque,@ TSG,SOCCER,Shots,1.5,2.48,65.33%
Igor Zubeldia,vs SEV,SOCCER,Clearances,3.5,5.76,64.57%
Jan-Niklas Beste,vs BOC,SOCCER,Shots,1.5,2.46,64.00%
Chris Ramos,vs RMA,SOCCER,Shots,2,3.28,64.00%
Ben Sinnott,vs Iowa State,CFB2H,Receiving Yards,19.5,31.97,63.97%
Brandon Powell,vs CHI,NFL,Receptions,2.5,0.91,-63.60%
Russell Westbrook,vs DAL,NBA,3-PT Made,0.5,0.82,63.52%
Tory Horton,@ Hawaii,CFB,Receiving Yards,65.5,107.01,63.37%
Norman Powell,vs DAL,NBA,Steals,0.5,0.81,62.86%
Aidan O'Connell,vs KC,NFL,Rush Yards,3.5,5.69,62.59%
Derrick Jones Jr.,@ LAC,NBA,Blocked Shots,0.5,0.81,61.56%
Walker Kessler,vs NOP,NBA,Turnovers,0.5,0.81,61.00%
Najee Harris,@ CIN,NFL,Receiving Yards,9.5,15.28,60.82%
Steve Mandanda,vs SR,SOCCER,Goalie Saves,2.5,4.02,60.80%
Dominic Calvert-Lewin,vs MUN,SOCCER,Shots,2.5,4.02,60.80%
Sergio Ramos,@ RSO,SOCCER,Clearances,4.5,7.23,60.67%
Keaton Mitchell,@ LAC,NFL,Receiving Yards,7.5,12.00,60.00%
Nedim Bajrami,@ EMP,SOCCER,Shots,1.5,2.40,60.00%
Maxence Caqueret,vs LIL,SOCCER,Shots,0.5,0.80,60.00%
Philipp Hofmann,@ HDH,SOCCER,Shots on Target,0.5,0.80,60.00%
Francesco Caputo,vs SAS,SOCCER,Shots on Target,0.5,0.80,60.00%
Ante Budimir,@ VIL,SOCCER,Shots,2,3.19,59.50%
Quentin Johnston,vs BAL,NFL,Receiving Yards,24.5,39.00,59.18%
Collin Sexton,vs NOP,NBA,Blks+Stls,0.5,0.79,58.98%
Austin Ekeler,vs BAL,NFL,Touchdowns,0.5,0.79,58.95%
Joshua Dobbs,vs CHI,NFL,INT,0.5,0.79,58.68%
Bijan Robinson,vs NO,NFL,Receiving Yards,18.5,29.00,56.76%
Matthew Stafford,@ ARI,NFL,Rush Yards,2.5,3.91,56.30%
Talen Horton-Tucker,vs NOP,NBA1H,Pts+Rebs+Asts,8.5,13.28,56.29%
Francesco Acerbi,@ JUV,SOCCER,Clearances,2.5,3.89,55.60%
Maximilian Beier,vs M05,SOCCER,Shots,2,3.11,55.50%
Mikko Rantanen,vs CGY,NHL,Hits,0.5,0.78,55.34%
Kayvon Thibodeaux,vs NE,NFL,Sacks,0.25,0.39,54.75%
Talen Horton-Tucker,vs NOP,NBA,Pts+Rebs,13.5,20.89,54.73%
Alexander Mattison,vs CHI,NFL,Receiving Yards,9.5,14.67,54.38%
Andrea Consigli,@ EMP,SOCCER,Goalie Saves,3,1.37,-54.33%
Jan-Niklas Beste,vs BOC,SOCCER,Shots on Target,0.5,0.77,54.00%
Josh Green,@ LAC,NBA,Points,6.5,9.97,53.32%
Andriy Lunin,@ CAD,SOCCER,Goalie Saves,2.5,3.83,53.20%
Leonard Floyd,@ PHI,NFL,Sacks,0.25,0.38,52.94%
Jack Eichel,vs ARI,NHL,Assists,0.5,0.76,52.91%
Emmanuel Agbadou,@ REN,SOCCER,Clearances,3.5,5.35,52.86%
Kelly Olynyk,vs NOP,NBA,Turnovers,1.5,2.28,51.97%
Talen Horton-Tucker,vs NOP,NBA,Pts+Rebs+Asts,17.5,26.57,51.83%
Lucas Digne,@ TOT,SOCCER,Tackles,2,0.97,-51.50%
Lucas Chevalier,@ OL,SOCCER,Goalie Saves,2.5,3.78,51.20%
Tim Hardaway Jr.,@ LAC,NBA,Steals,0.5,0.76,51.19%
Amine Gouiri,vs SR,SOCCER,Shots,2,3.02,51.00%
Jaleel McLaughlin,vs CLE,NFL,Rush Yards,12.5,18.86,50.88%
Christopher Antwi-Adjei,@ HDH,SOCCER,Shots on Target,0.5,0.75,50.00%
Philipp Hofmann,@ HDH,SOCCER,Shots,1.5,2.25,50.00%
Nazem Kadri,@ COL,NHL,Points,0.5,0.75,49.68%
Jean-Clair Todibo,vs TFC,SOCCER,Clearances,3,4.49,49.67%
Liberato Cacace,vs SAS,SOCCER,Tackles,2,1.01,-49.50%
Jalen Hurts,vs BUF,NFL,Rush TDs,0.5,0.75,49.42%
Talen Horton-Tucker,vs NOP,NBA,Points,10.5,15.68,49.35%
Kelly Olynyk,vs NOP,NBA,Points,8,11.91,48.86%
Trey Benson,@ Florida,CFB2H,Fantasy Score,5.5,8.17,48.63%
Skyy Moore,@ LV,NFL,Receiving Yards,17.5,26.00,48.58%
Oliver Baumann,vs M05,SOCCER,Goalie Saves,2.5,3.71,48.40%
Logan Loya,vs California,CFB,Receiving Yards,50.5,26.15,-48.22%
Jean-Clair Todibo,vs TFC,SOCCER,Shots,0.5,0.74,48.00%
Talen Horton-Tucker,vs NOP,NBA,Pts+Asts,14.5,21.36,47.33%
Jalen Moss,@ San Diego State,CFB,Receiving Yards,45.5,66.92,47.07%
Royce Freeman,@ ARI,NFL,Rush Attempts,6.5,3.50,-46.15%
Alejandro Garnacho,@ EVE,SOCCER,Shots on Target,0.5,0.73,46.00%
Amine Bassi,vs SKC,SOCCER,Shots,1.5,2.19,46.00%
Akor Adams,vs BRE,SOCCER,Shots,2,2.92,46.00%
Royce Freeman,@ ARI,NFL,Rush Yards,26.5,14.38,-45.74%
Miles Sanders,@ TEN,NFL,Rush Attempts,7.5,4.10,-45.33%
Khalil Herbert,@ MIN,NFL,Receiving Yards,10.5,15.26,45.33%
Tim Kleindienst,vs BOC,SOCCER,Shots,2.5,3.63,45.20%
Brayden Fowler-Nicolosi,@ Hawaii,CFB,Pass Yards,245.5,134.69,-45.14%
Logan Costa,@ NIC,SOCCER,Clearances,4,5.80,45.00%
Trenton Irwin,vs PIT,NFL,Receiving Yards,24.5,35.48,44.82%
Rui Silva,vs LPM,SOCCER,Goalie Saves,2.5,1.38,-44.80%
Kevin Vogt,vs M05,SOCCER,Clearances,3,4.34,44.67%
Yusuf Yazici,@ OL,SOCCER,Shots,2,2.89,44.50%
Derek Carr,@ ATL,NFL,INT,0.5,0.72,44.41%
Quentin Johnston,vs BAL,NFL,Receptions,2.5,3.61,44.40%
Harry Maguire,@ EVE,SOCCER,Clearances,3.5,5.05,44.29%
Kyren Williams,@ ARI,NFL,Receptions,2.5,3.60,44.13%
Kevin Vogt,vs M05,SOCCER,Tackles,0.5,0.72,44.00%
Najee Harris,@ CIN,NFL,Receptions,1.5,2.15,43.01%
Talen Horton-Tucker,vs NOP,NBA1H,Points,5.5,7.84,42.56%
Collin Sexton,vs NOP,NBA,Assists,2.5,3.56,42.51%
Romain Del Castillo,@ MON,SOCCER,Shots,1.5,0.87,-42.00%
Gabriel Davis,@ PHI,NFL,Fantasy Score,7.5,10.62,41.61%
Chimy Avila,@ VIL,SOCCER,Shots,2.5,1.46,-41.60%
Jayce Brown,vs Iowa State,CFB2H,Receiving Yards,17.5,10.23,-41.54%
Takuma Asano,@ HDH,SOCCER,Shots,2,2.83,41.50%
Marcus Thuram,@ JUV,SOCCER,Shots,2,2.82,41.00%
Blake Coleman,@ COL,NHL,Shots on Goal,2,2.81,40.54%
Marvin Mims Jr.,vs CLE,NFL,Receiving Yards,14.5,8.63,-40.47%
Miles Sanders,@ TEN,NFL,Rush Yards,26.5,15.80,-40.38%
Elias Lindholm,@ COL,NHL,Shots on Goal,2,2.81,40.37%
Bryce Young,@ TEN,NFL1H,Fantasy Score,5,7.02,40.30%
C.J. Stroud,vs JAX,NFL,INT,0.5,0.70,40.00%
Kelly Olynyk,vs NOP,NBA,Pts+Rebs,13.5,18.86,39.68%
Mikael Backlund,@ COL,NHL,Shots on Goal,2.5,3.48,39.31%
Marquez Valdes-Scantling,@ LV,NFL,Receiving Yards,15.5,21.59,39.29%
Jonas Valanciunas,@ UTA,NBA,Blocked Shots,1.5,0.91,-39.24%
D.J. Chark,@ TEN,NFL,Receiving Yards,24.5,34.04,38.95%
Tommy DeVito,vs NE,NFL,Pass Completions,17.5,10.73,-38.67%
Kyren Williams,@ ARI,NFL,Receiving Yards,18.5,25.60,38.37%
Pierre Lees-Melou,@ MON,SOCCER,Shots on Target,0.5,0.31,-38.00%
Austin Ekeler,vs BAL,NFL,Receptions,4,5.51,37.79%
Ludovic Blas,vs SR,SOCCER,Shots,2,2.74,37.00%
Baker Mayfield,@ IND,NFL1H,Fantasy Score,6,8.19,36.46%
Tommy DeVito,vs NE,NFL,Fantasy Score,11.5,7.31,-36.40%
Lamar Jackson,@ LAC,NFL,Rush Yards,43.5,59.30,36.33%
Isiah Pacheco,@ LV,NFL,Touchdowns,0.5,0.68,36.00%
Andrea Pinamonti,@ EMP,SOCCER,Shots,2,2.72,36.00%
Alex Pietrangelo,vs ARI,NHL,Blocked Shots,2.5,1.61,-35.80%
Fernando Mendoza,@ UCLA,CFB,Pass Yards,193.5,124.39,-35.71%
Daniel Bellinger,vs NE,NFL,Receiving Yards,17.5,23.72,35.54%
Jalen Hurts,vs BUF,NFL,Rush Yards,38.5,52.16,35.49%
Tiago Santos,@ OL,SOCCER,Tackles,2,1.30,-35.00%
Kelly Olynyk,vs NOP,NBA,Pts+Asts,11.5,15.52,34.93%
Jordan Pickford,vs MUN,SOCCER,Goalie Saves,3,4.04,34.67%
Pofele Ashlock,vs Colorado State,CFB,Receiving Yards,64.5,42.17,-34.61%
Miles Sanders,@ TEN,NFL,Rush + Rec Yds,40.5,26.49,-34.59%
Darnell Mooney,@ MIN,NFL,Receiving Yards,24.5,32.90,34.31%
A.T. Perry,@ ATL,NFL,Receiving Yards,22.5,30.22,34.31%
Festy Ebosele,@ ROM,SOCCER,Tackles,1.5,0.99,-34.00%
Justin Watson,@ LV,NFL1H,Fantasy Score,2.5,3.35,33.96%
Latavius Murray,@ PHI,NFL,Rush Yards,19.5,26.12,33.95%
Kawhi Leonard,vs DAL,NBA,Rebounds,5.5,7.36,33.81%
Justin Herbert,vs BAL,NFL,Rush Yards,14.5,9.66,-33.36%
Nemanja Matic,vs SR,SOCCER,Tackles,1.5,1.00,-33.33%
Johan Mojica,@ VIL,SOCCER,Tackles,1.5,2.00,33.33%
Quinn Hughes,@ SJ,NHL,Shots on Goal,3,2.00,-33.29%
Gabriel Davis,@ PHI,NFL,Receiving Yards,36.5,48.58,33.11%
John Collins,vs NOP,NBA,Steals,0.5,0.66,32.81%
Ivica Zubac,vs DAL,NBA1Q,Points,3.5,2.35,-32.77%
Gabriel Davis,@ PHI,NFL1H,Fantasy Score,4,5.31,32.76%
Taysom Hill,@ ATL,NFL,Rush Yards,18.5,12.47,-32.59%
Trey Knox,vs Clemson,CFB2H,Receiving Yards,14.5,19.19,32.35%
Kenny Pickett,@ CIN,NFL,INT,0.5,0.66,32.34%
Ty Chandler,vs CHI,NFL,Receptions,1.5,1.01,-32.34%
Khalil Shakir,@ PHI,NFL,Receiving Yards,29.5,39.00,32.20%
Donovan Mitchell,vs LAL,NBA4Q,Points,7.5,5.09,-32.07%
Corey Baird,vs SKC,SOCCER,Shots,1.5,1.98,32.00%
Leandro Barreiro,@ TSG,SOCCER,Tackles,2,1.36,-32.00%
Lazar Samardzic,@ ROM,SOCCER,Shots,1.5,1.98,32.00%
Gardner Minshew,vs TB,NFL,Rush Attempts,2.5,1.70,-32.00%
Derrick Henry,vs CAR,NFL,Receptions,2,1.37,-31.51%
Dorian Thompson-Robinson,@ DEN,NFL,Rush Yards,21.5,28.27,31.49%
Elijah Moore,@ DEN,NFL,Receiving Yards,28.5,37.43,31.34%
Rashid Shaheed,@ ATL,NFL,Receptions,3,3.94,31.33%
Evan McPherson,vs PIT,NFL,Kicking Points,5.5,7.22,31.27%
Ivica Zubac,vs DAL,NBA,Rebounds,8,10.50,31.23%
Jude Bellingham,@ CAD,SOCCER,Shots,2.5,3.28,31.20%
Norman Powell,vs DAL,NBA,Pts+Rebs,14.5,18.99,30.98%
Kyler Murray,vs LAR,NFL,Rush Attempts,6.5,4.50,-30.77%
Kyler Murray,vs LAR,NFL,Rush Yards,35.5,24.64,-30.59%
Kenny Pickett,@ CIN,NFL,Rush Yards,10.5,7.31,-30.35%
Jonathan Taylor,vs TB,NFL,Receiving Yards,19.5,25.41,30.31%
Javonte Williams,vs CLE,NFL,Rush Yards,54.5,71.00,30.28%
Grant Williams,@ LAC,NBA,Pts+Rebs,12.5,16.28,30.22%
Zay Jones,@ HOU,NFL,Receiving Yards,30.5,39.71,30.20%
Jake O'Brien,vs LIL,SOCCER,Shots,0.5,0.35,-30.00%
Taurean Prince,@ CLE,NBA4Q,Points,2.5,3.25,29.94%
Tommy DeVito,vs NE,NFL,Pass + Rush Yds,195.5,137.09,-29.88%
Kyrie Irving,@ LAC,NBA,Rebounds,4,5.19,29.81%
Jaylen Warren,@ CIN,NFL,Receiving Yards,18.5,24.00,29.73%
Joshua Kelley,vs BAL,NFL,Rush Yards,16.5,21.39,29.64%
Tomas Tatar,vs CGY,NHL,Hits,0.5,0.65,29.47%
Joshua Dobbs,vs CHI,NFL,Touchdowns,1.5,1.06,-29.47%
Terance Mann,vs DAL,NBA,Points,6.5,8.41,29.40%
Hunter Renfrow,vs KC,NFL,Receiving Yards,22.5,15.88,-29.40%
Justin Tucker,@ LAC,NFL,FG Made,1.5,1.94,29.35%
Chuba Hubbard,@ TEN,NFL,Receiving Yards,11.5,8.13,-29.29%
Joe Mixon,vs PIT,NFL,Rush Attempts,17.5,12.40,-29.14%
Javonte Williams,vs CLE,NFL1H,Rush Yards,27.5,35.50,29.09%
Tommy DeVito,vs NE,NFL,Pass Yards,176.5,125.22,-29.05%
Alexander Mattison,vs CHI,NFL1H,Rush Yards,22.5,29.00,28.89%
Will Levis,vs CAR,NFL,Rush Yards,5,6.44,28.80%
Jayden Higgins,@ Kansas State,CFB2H,Receiving Yards,26.5,18.87,-28.79%
J.T. Miller,@ SJ,NHL,Faceoffs Won,9.5,6.77,-28.77%
Mahdi Camara,@ MON,SOCCER,Tackles,1.5,1.07,-28.67%
Matt Ammendola,vs JAX,NFL,FG Made,1.5,1.93,28.67%
Mark Redman,vs Fresno State,CFB,Receiving Yards,35.5,25.34,-28.62%
James Harden,vs DAL,NBA,Rebounds,5,6.42,28.45%
Juwan Johnson,@ ATL,NFL1H,Fantasy Score,3,2.15,-28.38%
Kelly Olynyk,vs NOP,NBA,Pts+Rebs+Asts,17.5,22.47,28.37%
Elias Lindholm,@ COL,NHL,Faceoffs Won,10.5,13.47,28.29%
C.J. Stroud,vs JAX,NFL,Rush Yards,6.5,8.33,28.15%
Teddy Teuma,@ REN,SOCCER,Shots on Target,0.5,0.64,28.00%
Lennard Maloney,vs BOC,SOCCER,Tackles,1.5,1.08,-28.00%
Manuel Riemann,@ HDH,SOCCER,Goalie Saves,3,3.84,28.00%
Ezekiel Elliott,@ NYG,NFL,Rush + Rec Yds,47.5,34.30,-27.79%
Michael Mayer,vs KC,NFL,Receptions,2.5,1.81,-27.60%
James Tarkowski,vs MUN,SOCCER,Clearances,4,5.10,27.50%
Alexander Mattison,vs CHI,NFL,Rush Yards,45.5,58.00,27.47%
Patrick Mainka,vs BOC,SOCCER,Clearances,3.5,4.46,27.43%
Joe Mixon,vs PIT,NFL1H,Rush Yards,33.5,24.33,-27.38%
J.J. Jones,@ North Carolina State,CFB2H,Receiving Yards,25.5,32.47,27.34%
Justin Herbert,vs BAL,NFL,Touchdowns,1.5,1.91,27.23%
Arthur Theate,vs SR,SOCCER,Clearances,3.5,4.45,27.14%
Amari Cooper,@ DEN,NFL,Receiving Yards,42.5,54.00,27.06%
Isaiah Hodgins,vs NE,NFL,Receptions,2,1.46,-27.00%
Joe Mixon,vs PIT,NFL,Rush Yards,66.5,48.65,-26.84%
Benjamin Lecomte,vs BRE,SOCCER,Goalie Saves,2.5,3.17,26.80%
Javonte Williams,vs CLE,NFL,Receiving Yards,12.5,15.85,26.76%
Aidan O'Connell,vs KC,NFL,Pass Completions,19.5,14.30,-26.68%
Chris Moore,vs CAR,NFL,Receiving Yards,15.5,19.63,26.65%
Norman Powell,vs DAL,NBA,Pts+Asts,13.5,17.09,26.59%
Amari Cooper,@ DEN,NFL,Receptions,3.5,4.43,26.56%
Russell Wilson,vs CLE,NFL,Rush Yards,19.5,14.33,-26.52%
Henrikh Mkhitaryan,@ JUV,SOCCER,Tackles,2,1.47,-26.50%
Herbert Jones,@ UTA,NBA1Q,Points,2.5,3.16,26.49%
Dalton Kincaid,@ PHI,NFL1H,Fantasy Score,6.5,4.78,-26.39%
Dalton Kincaid,@ PHI,NFL,Fantasy Score,13,9.57,-26.39%
Joe Mixon,vs PIT,NFL,Rush + Rec Yds,87.5,64.41,-26.38%
Kelly Olynyk,vs NOP,NBA,Rebounds,5.5,6.95,26.32%
Grant Williams,@ LAC,NBA,Steals,0.5,0.63,26.30%
Giorgio Chiellini,@ SOU,SOCCER,Clearances,3.5,4.42,26.29%
Brandon Ingram,@ UTA,NBA,3-PT Made,1.5,1.89,26.02%
Bryan Cristante,vs UDI,SOCCER,Tackles,2,1.48,-26.00%
Jack Harrison,vs MUN,SOCCER,Shots on Target,0.5,0.37,-26.00%
Robert Skov,vs M05,SOCCER,Shots on Target,0.5,0.63,26.00%
Evan McPherson,vs PIT,NFL,Fantasy Score,6.5,8.18,25.85%
Filip Hronek,@ SJ,NHL,Assists,0.5,0.63,25.81%
Jaleel McLaughlin,vs CLE,NFL,Rush + Rec Yds,22.5,28.27,25.66%
Andrej Kramaric,vs M05,SOCCER,Shots,2.5,1.86,-25.60%
Luka Doncic,@ LAC,NBA,3-PT Made,3.5,2.61,-25.56%
Jaleel McLaughlin,vs CLE,NFL,Receiving Yards,7.5,9.41,25.50%
Razvan Marin,vs SAS,SOCCER,Tackles,1.5,1.12,-25.33%
Austin Reaves,@ CLE,NBA4Q,Points,4.5,3.37,-25.05%
Francesco Caputo,vs SAS,SOCCER,Shots,2,2.50,25.00%
Norman Powell,vs DAL,NBA,Pts+Rebs+Asts,16.5,20.59,24.78%
Jaylin Noel,@ Kansas State,CFB2H,Receiving Yards,26.5,19.95,-24.71%
Daniel Carlson,vs KC,NFL,Kicking Points,5.5,6.85,24.63%
Adrien Rabiot,vs INT,SOCCER,Tackles,2,1.51,-24.50%
Cade Klubnik,@ South Carolina,CFB2H,Pass Yards,99.5,123.65,24.27%
Keyonte George,vs NOP,NBA,Assists,6,4.54,-24.26%
Juwan Johnson,@ ATL,NFL,Receiving Yards,23.5,17.80,-24.23%
Alexander Mattison,vs CHI,NFL,Rush + Rec Yds,58.5,72.67,24.22%
Collin Sexton,vs NOP,NBA1H,Points,6.5,8.07,24.14%
Logan Thompson,vs ARI,NHL,Goalie Saves,25.5,19.38,-24.01%
Rashid Shaheed,@ ATL,NFL,Targets,5,6.20,24.00%
Kenny Lala,@ MON,SOCCER,Tackles,2,1.52,-24.00%
Norman Powell,vs DAL,NBA,Points,12.5,15.49,23.95%
Adam Thielen,@ TEN,NFL,Receptions,6.5,4.95,-23.81%
Cade Otton,@ IND,NFL,Receptions,3.5,2.67,-23.62%
Baker Mayfield,@ IND,NFL,Rush Yards,10.5,12.97,23.50%
Moussa Diaby,@ TOT,SOCCER,Shots,2,2.47,23.50%
Tyler Bass,@ PHI,NFL,Kicking Points,6,7.41,23.50%
Guglielmo Vicario,vs AVL,SOCCER,Goalie Saves,3,3.70,23.33%
Max Strus,vs LAL,NBA4Q,Points,3,3.70,23.26%
James Harden,vs DAL,NBA1H,Points,7.5,9.23,23.05%
Dyson Daniels,@ UTA,NBA,Assists,5,3.85,-23.04%
Grant Williams,@ LAC,NBA,Fantasy Score,18.5,22.73,22.87%
Ezekiel Elliott,@ NYG,NFL,Rush Yards,35.5,27.38,-22.86%
Daniel Carlson,vs KC,NFL,Fantasy Score,6.5,7.97,22.62%
Joshua Dobbs,vs CHI,NFL,Rush Yards,38.5,29.80,-22.60%
Mark Stone,vs ARI,NHL,Assists,0.5,0.61,22.59%
James Cook,@ PHI,NFL,Receiving Yards,15.5,19.00,22.58%
Chigoziem Okonkwo,vs CAR,NFL,Receiving Yards,22.5,27.58,22.58%
Rashid Shaheed,@ ATL,NFL1H,Receiving Yards,18.5,22.65,22.41%
Steve Clark,vs SKC,SOCCER,Goalie Saves,2.5,3.06,22.40%
Rashod Bateman,@ LAC,NFL,Receiving Yards,26.5,32.41,22.30%
Russell Wilson,vs CLE,NFL,Rush Attempts,4.5,3.50,-22.22%
Mikael Granlund,vs VAN,NHL,Points,0.5,0.39,-22.07%
LeBron James,@ CLE,NBA4Q,Points,8,6.24,-22.05%
Adrien Truffert,vs SR,SOCCER,Tackles,1.5,1.17,-22.00%
Terance Mann,vs DAL,NBA,Pts+Rebs,10,12.20,21.98%
Jonathan Taylor,vs TB,NFL,Rush Yards,80.5,62.82,-21.96%
Juwan Johnson,@ ATL,NFL,Fantasy Score,5.5,4.30,-21.87%
Alvin Kamara,@ ATL,NFL,Rush Yards,48.5,59.06,21.77%
Martin Erlic,@ EMP,SOCCER,Clearances,3.5,4.26,21.71%
Mikael Backlund,@ COL,NHL,Points,0.5,0.61,21.60%
Dalton Kincaid,@ PHI,NFL,Targets,6.5,5.10,-21.54%
Alan Pulido,@ HOU,SOCCER,Shots,2,2.43,21.50%
James Harden,vs DAL,NBA,Pts+Rebs,20.5,24.88,21.36%
David Njoku,@ DEN,NFL,Targets,7.5,5.90,-21.33%
Chris Moore,vs CAR,NFL,Receptions,1.5,1.82,21.33%
Tyler Boyd,vs PIT,NFL,Receiving Yards,36.5,44.28,21.32%
Justin Madubuike,@ LAC,NFL,Sacks,0.25,0.30,21.27%
Christian Kirk,@ HOU,NFL,Targets,8,6.30,-21.25%
Jaylen Warren,@ CIN,NFL,Rush Yards,49.5,39.00,-21.21%
Norman Powell,vs DAL,NBA1H,Pts+Rebs+Asts,8.5,10.29,21.11%
Kevin Concepcion,vs North Carolina,CFB2H,Receiving Yards,31.5,38.13,21.05%
Melvin Bard,vs TFC,SOCCER,Tackles,2,1.58,-21.00%
Joris Chotard,vs BRE,SOCCER,Tackles,3,2.37,-21.00%
Brock Boeser,@ SJ,NHL,Shots on Goal,3,2.37,-21.00%
Gardner Minshew,vs TB,NFL1H,Fantasy Score,6.5,7.86,20.98%
Josh Oliver,vs CHI,NFL,Receiving Yards,9.5,7.51,-20.92%
Rashid Shaheed,@ ATL,NFL,Receiving Yards,37.5,45.29,20.77%
Adam Trautman,vs CLE,NFL,Receiving Yards,11.5,13.88,20.69%
Ilya Mikheyev,@ SJ,NHL,Shots on Goal,2,1.59,-20.67%
Wojciech Szczesny,vs INT,SOCCER,Goalie Saves,3,3.62,20.67%
Mikey Keene,@ San Diego State,CFB,Pass Yards,255.5,202.71,-20.66%
Chandler Stephenson,vs ARI,NHL,Points,0.5,0.60,20.64%
Anthony Duclair,vs VAN,NHL,Shots on Goal,2,1.59,-20.57%
Alvin Kamara,@ ATL,NFL1H,Rush Yards,24.5,29.53,20.53%
